Go on.,Poursuis.
"If you feed your dog properly, you can increase his lifespan.","Si tu nourris ton chien correctement, tu peux accroître sa durée de vie."
"If you feed your dog properly, you can increase his lifespan.","Si vous nourrissez votre chien correctement, vous pouvez accroître sa durée de vie."
"If you had not eaten so much, you would not be so sleepy now.","Si tu n'avais pas tant mangé, tu ne serais pas maintenant si endormi."
"If you had not eaten so much, you would not be so sleepy now.","Si tu n'avais pas tant mangé, tu ne serais pas maintenant si endormie."
"If you keep on drinking like that, you'll be drunk very soon.","Si tu continues à boire comme cela, tu seras bientôt saoul."
"If you leave now, I'm sure you'll be caught in a traffic jam.","Si tu pars maintenant, tu vas certainement te retrouver dans les embouteillages."
"If you need a change of pace, why don't you come for a visit?","Si tu as besoin de changer de rythme, pourquoi ne viens-tu pas pour une visite ?"
"If you want something done right, you have to do it yourself.","Si vous voulez que quelque chose soit fait correctement, vous devez le faire vous-même."
"If you want to do good work, you should use the proper tools.",Si on veut faire du bon travail on devrait employer les outils adéquats.
"If you want to do good work, you should use the proper tools.",Si vous voulez faire du bon travail vous devriez employer les outils adéquats.
In 1978 a peace treaty was concluded between Japan and China.,En 1978 un traité de paix fut signé entre le Japon et la Chine.
"In November, olives are harvested from the trees to make oil.","En novembre, on récolte les olives sur les arbres pour produire de l'huile."
"In retrospect, I probably shouldn't have gone there with her.","En y repensant, je n'aurais probablement pas dû aller là avec elle."
"In the USA, opioids cause more deaths than traffic accidents.","Les opiacés font, aux USA, plus de victimes que les accidents de voiture."
Is it true that Boston is a popular destination for tourists?,Est-ce vrai que Boston est une destination touristique populaire ?
Is there any way you can un-shrink a T-shirt that has shrunk?,"Existe-t-il un moyen de ""dé-rétrécir"" un T-shirt qui a rétréci ?"
It costs more to mint a penny than the penny itself is worth.,Ça coûte plus cher de frapper un penny que ce que vaut un penny lui-même.
It doesn't matter to us if you take a photo from the outside.,"Ça nous est égal, si vous prenez une photo depuis l'extérieur."
It doesn't matter to us if you take a photo from the outside.,"Ça nous est égal, si tu prends une photo depuis l'extérieur."
It doesn't matter to us if you take a photo from the outside.,Ça nous est égal que vous preniez une photo depuis l'extérieur.
It doesn't matter to us if you take a photo from the outside.,Ça nous est égal que tu prennes une photo depuis l'extérieur.
It is generally hard to adapt to living in a foreign culture.,Il est d'ordinaire difficile de s'adapter à la vie dans une culture étrangère.
It never occurred to me that he might be an escaped prisoner.,Il ne m'est jamais venu à l'esprit qu'il pourrait être un prisonnier évadé.
It never occurred to me that the whole thing might be a scam.,Il ne m'est jamais venu à l'esprit que toute l'affaire pouvait être une escroquerie.
It sounds to me as if he has something to do with the matter.,Ça me parait comme s'il a quelque chose à voir avec l'affaire.
It took a long time to bring him around to our point of view.,Il a fallu beaucoup de temps pour le rallier à notre point de vue.
"It was a pleasant day, but there were few people in the park.","C'était une journée agréable, mais il y avait peu de monde dans le parc."
It was a very slow train. It stopped at every little station.,C'était un train fort lent. Il s'est arrêté dans chaque petite gare.
It was entirely by chance that I found out what he was doing.,Ce fut tout à fait par hasard que j'ai su ce qu'il faisait.
"It was hard for me to sell my guitar, but I needed the money.","C'était dur pour moi de vendre ma guitare, mais j'avais besoin de l'argent."
It was in 1912 that the Titanic sank during her first voyage.,C'est en 1912 que le Titanic a coulé lors de son premier voyage.
It would never have occurred to me to say anything like that.,Il ne me serait jamais venu à l'esprit de dire quelque chose de la sorte.
It'll be a long time before she gets over her father's death.,Il faudra du temps avant qu'elle ne surmonte la mort de son père.
It'll take me at least three hours to do my homework tonight.,Cela me prendra au moins trois heures pour faire mes devoirs ce soir.
It's about time the government did something about pollution.,Il est temps que le gouvernement fasse quelque chose à propos de la pollution.
It's difficult to help people who can't admit they need help.,C'est difficile d'aider des gens qui ne peuvent pas admettre qu'ils ont besoin d'aide.
It's important for us to think about the future of the world.,Il est important pour nous de penser à l'avenir du monde.
It's not a secret that Tom's opinion is different than yours.,Ce n'est pas un secret que l'opinion de Tom est différente de la tienne.
It's only a fifteen minute bus ride from here to the airport.,Cela ne prend que quinze minutes en bus d'ici à l'aéroport.
Japanese houses are built of wood and they catch fire easily.,Les maisons japonaises sont faites en bois et prennent feu rapidement.
"Judging from the look of the sky, it may rain this afternoon.","À en juger par le ciel, il est possible qu'il pleuve cet après-midi."
"Just by looking at your face, I know that you have good news.",Il me suffit de regarder ton visage pour savoir que tu apportes de bonnes nouvelles.
"Just by looking at your face, I know that you have good news.","En regardant simplement ton visage, je sais que tu apportes de bonnes nouvelles."
"Just by looking at your face, I know that you have good news.","Rien qu'en regardant ton visage, je sais que tu as de bonnes nouvelles."
"Just by looking at your face, I know that you have good news.","Rien qu'en regardant votre visage, je sais que vous avez de bonnes nouvelles."
"Lake Titicaca, the biggest lake in South America, is in Peru.","Le lac Titicaca, plus grand lac d'Amérique du sud, se trouve au Pérou."
"Last night was very hot and muggy, so I didn't sleep so well.","La nuit dernière était très chaude et humide, je n'ai donc pas si bien dormi."
"Last night, I was so tired that I fell asleep with the TV on.","La nuit dernière, j'étais tellement fatigué que je me suis endormi avec la télé allumée."
"Last summer, I had a chance to go to Boston, but I didn't go.","Au denier été, j'avais une chance d'aller à Boston, mais je n'y suis pas allé."
Lincoln's biography is read by children all around the world.,La biographie de Lincoln est lue par des enfants du monde entier.
Many Americans still had money they had saved during the war.,De nombreux Étatsuniens disposaient toujours d'argent qu'ils avaient épargné durant la guerre.
Many cancer patients lose their hair because of chemotherapy.,De nombreux patients atteints du cancer perdent leurs cheveux à cause de la chimiothérapie.
Many students go to Europe for the purpose of studying music.,Beaucoup d'étudiants vont en Europe pour étudier la musique.
Mary felt happy when she learned the results of the election.,Maria fut enchantée quand elle sut les résultats des élections.
"Mary looks like her mother, but her personality is different.",Marie ressemble à sa mère mais elle a une personnalité différente.
Maybe it would be better not to talk too much about the past.,Peut-être valait-il mieux ne pas trop remuer le passé.
Mental exercise is particularly important for young children.,L'exercice mental est particulièrement important pour les jeunes enfants.
Microsoft has a completely new operating system in the works.,Microsoft a un tout nouveau système d'exploitation dans ses cartons.
Microsoft has a completely new operating system in the works.,Microsoft a un tout nouveau système d'exploitation en préparation.
More than a third of the world population lives near a coast.,Plus du tiers de la population mondiale vit près d'une côte.
Most of us are much more interesting than the world suspects.,La plupart d'entre nous sommes plus intéressants que le monde ne le suspecte.
